Province/State,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020
New York,173,220,328,421,525,732,967,1706,2495,5365,8310
Washington,267,366,442,568,572,643,904,1076,1014,1376,1524
California,144,177,221,282,340,426,557,698,751,952,1177
New Jersey,15,23,29,29,69,98,178,267,267,742,890
Illinois,12,25,32,46,64,93,105,161,162,422,585
Florida,15,28,35,50,76,115,155,216,314,417,563
Michigan,0,2,2,16,25,33,53,65,83,334,552
Louisiana,1,6,19,36,77,91,136,196,257,392,538
Georgia,17,23,31,42,66,99,121,146,199,287,420
Massachusetts,92,95,108,123,138,164,197,218,218,328,413
Texas,13,21,27,43,57,72,85,110,173,260,394
Colorado,15,34,45,49,101,131,160,160,184,277,363
Pennsylvania,12,16,22,41,47,66,77,112,152,206,303
Tennessee,7,9,18,26,32,39,52,74,79,154,233
Wisconsin,3,6,8,19,27,32,47,72,92,159,207
Connecticut,2,3,5,11,22,24,30,68,68,159,194
Ohio,3,4,5,13,26,37,50,67,86,119,173
North Carolina,7,7,15,17,24,33,38,64,70,123,172
Maryland,8,9,12,18,26,32,41,60,85,107,149
South Carolina,7,10,12,13,19,28,33,47,47,81,126
Virginia,7,9,17,30,41,45,49,67,77,99,122
Minnesota,3,5,9,14,21,35,54,60,77,89,115
Oregon,15,19,24,30,32,36,39,66,68,88,114
Nevada,4,7,14,17,21,24,45,56,55,95,114
Arkansas,0,1,6,6,12,16,22,22,33,62,96
Indiana,6,11,13,13,16,20,25,30,39,60,86
Alabama,0,0,0,5,6,12,29,39,46,78,83
Mississippi,0,0,1,1,6,10,13,21,34,50,80
Arizona,6,9,9,9,12,13,18,20,27,45,78
Utah,2,3,5,9,10,28,39,51,51,80,78
Maine,0,0,0,1,3,12,17,32,42,52,56
Rhode Island,3,5,5,14,20,20,21,23,33,44,54
Missouri,1,1,1,2,4,5,6,11,18,31,53
Oklahoma,2,2,2,2,4,7,10,19,19,44,49
Kentucky,6,8,10,14,14,20,21,26,27,37,47
Iowa,8,13,16,17,17,18,23,23,29,44,45
New Hampshire,4,5,6,6,7,13,17,26,26,44,44
Kansas,1,1,1,5,8,8,11,18,18,34,44
New Mexico,0,3,5,10,10,13,17,23,23,35,43
Delaware,0,1,1,4,6,7,8,16,19,30,38
Nebraska,3,5,10,13,14,17,18,21,24,29,37
Vermont,1,1,2,2,5,8,12,12,18,22,29
Hawaii,2,2,2,2,4,6,7,10,14,16,26
Idaho,0,0,0,1,2,5,5,8,9,11,23
North Dakota,0,0,1,1,1,1,1,3,6,18,19
Wyoming,0,0,1,1,2,3,3,11,15,18,19
Montana,0,1,1,1,5,7,7,9,11,11,15
South Dakota,0,8,8,8,9,9,10,11,11,11,14
Alaska,0,0,0,1,1,1,1,3,6,9,12
West Virginia,0,0,0,0,0,0,0,1,1,2,7
